temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,value_basis,source_segment,suggested_total_relative_uncertainty_pct,independent_measurement,interpolation_method,source_figure
59,0.159839,15.9839,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
60,0.161,16.1,digitized_trace_anchor,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
61,0.162248,16.2248,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
62,0.163476,16.3476,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
63,0.164254,16.4254,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
64,0.1648,16.48,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
65,0.165245,16.5245,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
66,0.16562,16.562,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
67,0.165957,16.5957,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
68,0.166283,16.6283,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
69,0.166623,16.6623,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
70,0.167,16.7,digitized_trace_anchor,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
71,0.167445,16.7445,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
72,0.167952,16.7952,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
73,0.16849,16.849,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
74,0.169031,16.9031,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
